Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Проектирование и разработка SQL баз данных с фокусом на безопасность,13014.63,43,5789.86
Оптимизация IT-процессов с применением облачных технологий,4646.06,59,786.85
Оказание технической поддержки первой линии с расширенным функционалом,2696.6,5,1159.82
Разработка нативного Android приложения на основе анализа требований,58810.72,352,19061.38
Создание ML-решений для предсказаний в сфере E-commerce,21681.61,372,4889.79
Настройка и оптимизация AWS для малого и среднего бизнеса,12439.51,139,6160.87
Внедрение CI/CD для крупной корпорации,15812.62,88,2279.27
Разработка игр на Unity для логистической компании,36378.92,390,15975.08
Разработка пайплайнов обработки данных для внутреннего использования,39299.43,210,16514.29
Разработка пользовательского опыта (UX) с расширенным функционалом,3323.0,56,725.95
Разработка масштабируемой E-commerce платформы для образовательной платформы,87452.78,581,33704.96
Базовая IT-поддержка пользователей с применением облачных технологий,1672.88,20,893.46
Создание интерактивных приложений на Unity для образовательной платформы,48423.66,462,7827.26
Базовая IT-поддержка пользователей с расширенным функционалом,3171.2,15,688.82
Реинжиниринг бизнес-процессов для внутреннего использования,3680.01,58,1663.6
Разработка игр на Unity с применением облачных технологий,32776.84,285,12499.93
Разработка решений на основе обработки естественного языка (NLP) с фокусом на безопасность,35283.54,399,18164.41
Базовая IT-поддержка пользователей с фокусом на безопасность,1893.15,9,865.82
Анализ и интерпретация данных для принятия решений для логистической компании,13136.87,130,1473.18
Проведение аудита IT-безопасности с расширенным функционалом,14856.22,56,2281.63
Проектирование и разработка NoSQL баз данных для финансового сектора,8437.87,58,4003.29
Экспертная IT-поддержка и решение инцидентов с применением облачных технологий,6265.64,26,2647.83
Разработка дашбордов и отчетов с использованием микросервисной архитектуры,8349.13,80,3131.04
Оптимизация IT-процессов для логистической компании,1471.2,21,844.0
Развертывание решений по киберзащите с учетом масштабируемости,27348.83,85,10792.58
Оценка зрелости IT-инфраструктуры с применением облачных технологий,17874.71,119,6499.09
Создание мультиарендной SaaS платформы с применением облачных технологий,33847.0,185,10548.42
Разработка фронтенда и бэкенда для DApps для медицинской организации,55685.64,450,17261.27
Операционный IT-консалтинг с использованием микросервисной архитектуры,6244.53,34,2281.73
Разработка стратегии автоматизации инфраструктуры для малого и среднего бизнеса,7890.64,144,1689.12
Настройка ETL-процессов для интеграции данных для стартапа,18330.92,87,8166.09
Разработка пользовательского интерфейса (UI) с учетом масштабируемости,2827.01,58,1326.75
Внедрение корпоративной аналитики для внутреннего использования,16114.66,100,4782.62
Оценка уровня защищенности систем с использованием микросервисной архитектуры,21144.42,126,9173.96
Базовая IT-поддержка пользователей для логистической компании,2771.32,26,1657.87
Проектирование и разработка SQL баз данных с фокусом на безопасность,25304.66,120,3093.48
Разработка высокопроизводительного Android приложения на основе анализа требований,12051.42,66,1963.94
Внедрение автоматизированного тестирования ПО в сфере E-commerce,11765.43,69,4850.2
Настройка и адаптация корпоративной ERP для внутреннего использования,43708.73,586,6461.09
Автоматизация DevOps процессов на основе анализа требований,5389.76,114,2343.75
Разработка sentiment analysis моделей с применением облачных технологий,12234.57,302,6457.75
Создание интерактивных приложений на Unity для внутреннего использования,46935.64,500,23245.57
Прикладная статистика для бизнеса с расширенным функционалом,7296.36,53,2848.76
Внедрение алгоритмов распознавания образов с применением облачных технологий,24836.11,97,13514.72
Приемочное тестирование с применением облачных технологий,2204.83,37,629.32
Проведение аналитики больших данных с применением облачных технологий,25074.24,352,11120.36
Разработка API в сфере E-commerce,11637.73,70,1376.89
Разработка решений на основе обработки естественного языка (NLP) для финансового сектора,68864.07,548,20548.75
Настройка автоматизации развертывания для стартапа,15156.29,132,4925.74
Проведение пенетрационного тестирования (пентеста) для внутреннего использования,21594.29,127,3814.02
Внедрение BPM-систем для внутреннего использования,6839.91,118,1924.48
Настройка и оптимизация Azure с учетом масштабируемости,19319.17,84,2273.3
Разработка пайплайнов обработки данных для малого и среднего бизнеса,26468.55,178,4311.66
Предоставление выделенной команды разработчиков с фокусом на безопасность,15343.73,361,8811.27
Проектирование взаимодействия пользователя на основе анализа требований,1830.41,50,415.51
Обслуживание серверов и сетевого оборудования для логистической компании,3046.71,27,641.07
Реинжиниринг бизнес-процессов с использованием микросервисной архитектуры,3520.36,18,1513.73
Предоставление выделенной команды разработчиков в сфере E-commerce,15642.07,271,3602.35
Автоматизация бизнес-процессов для малого и среднего бизнеса,20260.19,73,7356.17
Разработка моделей классификации и регрессии для внутреннего использования,28575.32,154,10864.95
Приемочное тестирование для медицинской организации,4610.35,41,830.14
Разработка API для интеграции систем для стартапа,19840.22,82,6331.57
Создание решений для анализа изображений и видео для медицинской организации,70057.7,429,20075.84
Архитектура облачных решений на AWS для логистической компании,23641.12,37,10122.7
Разработка смарт-контрактов на Solidity для малого и среднего бизнеса,18185.52,307,8327.15
Тестирование на проникновение для медицинской организации,6107.38,139,1689.17
Создание логики децентрализованных приложений на блокчейне в сфере E-commerce,69601.13,392,35216.47
Внедрение AmoCRM для конечных пользователей,24679.84,149,6645.31
Разработка игр на Unity для медицинской организации,12988.17,410,3090.99
Построение BI-систем и аналитики с фокусом на безопасность,11347.66,98,6343.51
Внедрение Salesforce для внутреннего использования,59829.38,155,20426.37
Разработка стратегии автоматизации инфраструктуры с расширенным функционалом,31037.95,69,9526.54
Создание чат-ботов и систем анализа текста с расширенным функционалом,62329.19,344,25373.94
Создание фулстек решения для внутреннего использования,52014.66,217,9581.75
Реинжиниринг бизнес-процессов для стартапа,9589.73,24,4602.73
Разработка систем компьютерного зрения для конечных пользователей,23424.56,227,11099.08
Создание ML-решений для предсказаний для внутреннего использования,29098.57,170,14009.5
Разработка фронтенда и бэкенда для DApps для малого и среднего бизнеса,30546.35,319,3895.83
Разработка высококачественной графики на Unreal Engine с использованием микросервисной архитектуры,32999.74,94,11602.23
Разработка систем компьютерного зрения с учетом масштабируемости,62530.48,426,33609.1
Программирование встраиваемых систем для IoT для стартапа,16650.25,337,7423.71
Разработка масштабируемой E-commerce платформы в сфере E-commerce,63456.0,73,32344.76
Проведение аналитики больших данных для малого и среднего бизнеса,37724.38,457,6715.19
Разработка высокопроизводительного Android приложения с использованием микросервисной архитектуры,57480.48,57,18143.47
Прикладная статистика для бизнеса для стартапа,13961.95,107,3221.32
Миграция данных в SQL базы для крупной корпорации,7841.85,28,1658.0
Разработка масштабируемой E-commerce платформы для стартапа,11690.24,291,4906.35
Аутсорсинг разработки для образовательной платформы,11491.3,322,6053.21
Разработка тестовых сценариев и фреймворков для стартапа,7894.58,21,4190.33
Создание дизайна интерфейсов для финансового сектора,4423.24,35,2590.05
Разработка мобильного приложения на Flutter в сфере E-commerce,17428.17,100,3099.01
Создание чат-ботов и систем анализа текста на основе анализа требований,53449.51,340,15983.57
Fullstack разработка для финансового сектора,56520.88,288,23050.38
Автоматизация DevOps процессов с расширенным функционалом,14619.3,86,7801.57
Разработка Flutter приложения с нуля с расширенным функционалом,31599.14,166,8369.56
Разработка API для внутреннего использования,12707.61,249,5739.5
Разработка масштабируемой E-commerce платформы для крупной корпорации,30422.91,508,5964.8
Внедрение BPM-систем с расширенным функционалом,11635.4,221,4484.31
Разработка игр на Unity для финансового сектора,63646.31,397,23748.15
Обслуживание серверов и сетевого оборудования для внутреннего использования,5543.67,43,2806.85
Архитектура облачных решений на Azure для медицинской организации,10375.61,42,3426.65
Функциональное тестирование программных продуктов на основе анализа требований,8216.16,35,1940.94
Создание Android приложения под ключ для финансового сектора,16159.49,159,7612.89
Backend разработка для медицинской организации,21094.76,54,4518.31
Разработка нативного Android приложения для стартапа,42979.31,122,14008.57
Автоматизация бизнес-процессов с использованием микросервисной архитектуры,47286.17,79,19413.08
Архитектура облачных решений на Azure с фокусом на безопасность,10382.84,200,3540.73
Оптимизация реляционных СУБД с использованием микросервисной архитектуры,21312.96,89,4851.17
Разработка нативного iOS приложения для медицинской организации,52369.8,393,13859.42
Проведение ручного тестирования ПО с фокусом на безопасность,3445.72,14,738.67
Разработка прошивок и ПО для IoT-устройств для медицинской организации,15958.18,246,8922.34
Настройка и оптимизация GCP для логистической компании,38964.27,100,22061.19
Управление облачной инфраструктурой в AWS для образовательной платформы,27574.09,70,12274.62
Управление IT-проектами по методологиям Agile/Waterfall для финансового сектора,7497.77,92,3241.36
Разработка пользовательского интерфейса (UI) для малого и среднего бизнеса,5065.94,11,2914.15
Реинжиниринг бизнес-процессов для медицинской организации,3792.0,49,790.5
Создание интернет-магазина с нуля в сфере E-commerce,86777.71,158,40364.92
Создание фулстек решения для крупной корпорации,59547.46,361,31634.62
Проведение статистического анализа данных для стартапа,15459.41,43,7788.23
Анализ и интерпретация данных для принятия решений для финансового сектора,8267.16,81,2936.6
Проектирование UI в сфере E-commerce,5339.27,43,1263.26
Функциональное тестирование программных продуктов на основе анализа требований,6014.4,49,806.95
Создание интерфейсов взаимодействия для стартапа,30776.28,153,6681.83
Программирование встраиваемых систем для IoT с использованием микросервисной архитектуры,17136.67,97,7584.87
Развертывание решений по киберзащите с использованием микросервисной архитектуры,20379.55,83,5565.86
Построение DWH и витрин данных на основе анализа требований,5103.92,198,1583.39
Разработка React Native приложения с нуля с применением облачных технологий,8147.63,235,1413.12
Автоматизация бизнес-процессов для малого и среднего бизнеса,13396.87,277,5655.82
Проектирование и разработка SaaS решения для образовательной платформы,31414.03,407,7996.85
Оптимизация реляционных СУБД для крупной корпорации,20574.73,36,3424.02
Разработка React Native приложения с нуля с применением облачных технологий,68335.11,61,29857.85
Миграция в Azure с учетом масштабируемости,35754.73,162,13344.61
Предоставление команды IT-специалистов для малого и среднего бизнеса,14726.73,75,5505.55
Управление облачной инфраструктурой в AWS для финансового сектора,22938.08,166,4419.93
Аутсорсинг функций IT-менеджмента для медицинской организации,24767.33,105,3329.44
Оценка уровня защищенности систем для крупной корпорации,5544.61,109,1724.43
Разработка Firmware для микроконтроллеров с использованием микросервисной архитектуры,31122.0,261,4837.49
Оказание технической поддержки первой линии для медицинской организации,1699.58,13,987.15
Создание мультиарендной SaaS платформы на основе анализа требований,87158.34,115,29278.09
Разработка Flutter приложения с нуля для конечных пользователей,27231.52,372,10909.6
Разработка фронтенда и бэкенда для DApps для логистической компании,49614.33,438,29597.73
Оптимизация IT-процессов с применением облачных технологий,5668.39,60,1521.36
Разработка аналитических моделей для Big Data для медицинской организации,30275.48,296,11222.14
Экспертная IT-поддержка и решение инцидентов с использованием микросервисной архитектуры,2156.57,8,594.5
Внедрение Salesforce для образовательной платформы,27003.44,221,14771.0
Внедрение BPM-систем для крупной корпорации,47065.77,185,20636.31
Создание логики децентрализованных приложений на блокчейне для логистической компании,29545.11,297,3049.0
Создание пользовательских интерфейсов для DApps с учетом масштабируемости,107765.56,352,44601.03
Анализ и интерпретация данных для принятия решений для финансового сектора,7494.72,95,1623.35
Создание дизайна интерфейсов для стартапа,9871.22,34,3868.8
Разработка маркетплейса в сфере E-commerce,72897.93,547,10438.09
Создание интерфейсов взаимодействия в сфере E-commerce,8330.22,110,1120.22
Создание решений для анализа изображений и видео с применением облачных технологий,24927.95,531,10678.74
Архитектура облачных решений на GCP на основе анализа требований,30284.0,58,18061.02
Разработка тестовых сценариев и фреймворков с применением облачных технологий,16823.38,115,4470.19
Создание нереляционных хранилищ данных для стартапа,30065.74,134,15206.92
Разработка решений на основе обработки естественного языка (NLP) для крупной корпорации,47671.22,442,8219.88
Масштабирование NoSQL баз данных с фокусом на безопасность,15219.01,141,2715.06
Создание конвейеров обработки Big Data с фокусом на безопасность,71978.7,277,16911.92
Приемочное тестирование с применением облачных технологий,5968.66,34,2657.38
Оптимизация реляционных СУБД для медицинской организации,14049.01,49,7360.4
Разработка тестовых сценариев и фреймворков с использованием микросервисной архитектуры,11592.74,61,4877.01
Базовая IT-поддержка пользователей на основе анализа требований,2727.17,25,528.15
Реинжиниринг бизнес-процессов с применением облачных технологий,1241.02,53,450.57
Внедрение алгоритмов распознавания образов для логистической компании,26746.84,293,8788.35
Аутсорсинг функций IT-менеджмента для логистической компании,4022.21,122,1487.49
Создание интерфейсов взаимодействия для образовательной платформы,25145.59,126,6232.81
Автоматизация регрессионного тестирования для медицинской организации,19595.47,28,5651.98
Построение системы управления проектами с использованием микросервисной архитектуры,7754.52,40,1929.62
Внедрение CI/CD для крупной корпорации,18122.89,133,10866.22
Внедрение корпоративной аналитики для конечных пользователей,15580.66,45,3122.29
Подбор IT-персонала для проекта для финансового сектора,31773.44,218,5430.23
Оптимизация IT-процессов для малого и среднего бизнеса,4242.64,60,681.65
Оценка уровня защищенности систем с использованием микросервисной архитектуры,17540.04,94,8299.83
Backend разработка с фокусом на безопасность,19174.94,63,2014.0
Разработка API для интеграции систем для крупной корпорации,5871.55,202,1204.15
Настройка межсетевых экранов и систем обнаружения вторжений для стартапа,14362.72,156,6087.52
Создание ML-решений для предсказаний с применением облачных технологий,22147.28,406,11752.88
Внедрение BPM-систем для конечных пользователей,25793.24,293,5802.17
Разработка и аудит смарт-контрактов для конечных пользователей,29219.31,338,13364.68
Настройка ETL-процессов для интеграции данных для малого и среднего бизнеса,9556.85,219,1094.52
Базовая IT-поддержка пользователей для стартапа,950.54,28,285.21
Оказание технической поддержки первой линии для крупной корпорации,3606.29,17,496.4
Аудит соответствия стандартам безопасности с расширенным функционалом,9915.11,40,1605.76
Разработка фронтенда и бэкенда для DApps для образовательной платформы,19788.18,382,11478.75
Разработка прошивок и ПО для IoT-устройств с применением облачных технологий,24604.22,151,13111.75
Разработка 2D/3D игр на Unity для стартапа,59060.0,358,25763.61
Построение BI-систем и аналитики для крупной корпорации,5417.49,105,702.81
Разработка стратегии автоматизации инфраструктуры для логистической компании,18711.06,151,5907.21
Проведение аудита IT-безопасности для малого и среднего бизнеса,18901.28,114,3175.75
Функциональное тестирование программных продуктов для стартапа,7001.34,20,1896.81
Разработка IT-стратегии с расширенным функционалом,11907.11,99,4034.99
Разработка мобильного приложения на Flutter с учетом масштабируемости,51464.16,143,7775.41
Настройка автоматизации развертывания с расширенным функционалом,23216.54,104,6838.38
Миграция в GCP для образовательной платформы,4957.9,83,2106.81
Разработка высокопроизводительного iOS приложения для финансового сектора,53550.55,365,23424.46
Стратегический IT-консалтинг с расширенным функционалом,7253.56,37,2141.32
Проектирование и разработка SQL баз данных для образовательной платформы,13798.23,62,6090.84
Внедрение алгоритмов распознавания образов для медицинской организации,72505.05,515,28739.33
Создание интернет-магазина с нуля для стартапа,97875.95,246,28997.81
Извлечение ценной информации из Big Data для внутреннего использования,56326.1,292,14751.87
Разработка игр на Unreal Engine с расширенным функционалом,64572.48,75,10591.94
Разработка тестовых сценариев и фреймворков с расширенным функционалом,16823.99,108,8704.77
Проектирование и разработка SQL баз данных с использованием микросервисной архитектуры,19038.66,163,2228.72
Проектирование и разработка SQL баз данных на основе анализа требований,7154.54,63,1862.3
Разработка 2D/3D игр на Unity на основе анализа требований,16047.37,168,5631.62
Управление облачной инфраструктурой в GCP с использованием микросервисной архитектуры,13029.55,184,1876.18
Разработка тестовых сценариев и фреймворков для малого и среднего бизнеса,7337.79,120,3564.96
Построение хранилищ больших данных для внутреннего использования,40945.35,555,13988.34
UX-исследование и проектирование для внутреннего использования,13379.21,84,7192.05
Разработка высокопроизводительного Android приложения для конечных пользователей,18067.34,136,9424.04
Разработка нативного iOS приложения для крупной корпорации,41039.91,246,9748.91
Проведение аудита IT-безопасности для образовательной платформы,23793.71,131,5052.33
Разработка и аудит смарт-контрактов с применением облачных технологий,72140.28,261,14238.69
Создание интерактивных приложений на Unity для крупной корпорации,26049.26,360,6056.31
Разработка аналитических моделей для Big Data для логистической компании,59964.95,254,15339.99
Разработка React Native приложения с нуля для стартапа,50089.28,322,20521.41
Разработка пользовательского интерфейса (UI) на основе анализа требований,6984.9,11,2010.93
Создание кроссплатформенного приложения (React Native) для конечных пользователей,21574.77,384,10680.63
UX-исследование и проектирование на основе анализа требований,6962.17,71,2187.9
Внедрение алгоритмов распознавания образов для стартапа,46838.03,404,22328.64
Функциональное тестирование программных продуктов для медицинской организации,8434.02,34,3216.75
Приемочное тестирование для логистической компании,1971.06,16,206.22
Разработка моделей классификации и регрессии с использованием микросервисной архитектуры,55126.27,387,14519.11
Управление облачной инфраструктурой в Azure с использованием микросервисной архитектуры,35458.44,92,19818.47
Создание iOS приложения под ключ с учетом масштабируемости,54289.43,342,15502.33
Разработка моделей классификации и регрессии для логистической компании,65971.43,495,38686.32
Приемочное тестирование для медицинской организации,7176.02,54,2821.13
Управление облачной инфраструктурой в AWS для внутреннего использования,8672.34,81,3646.61
Предоставление выделенной команды разработчиков для внутреннего использования,37679.3,43,8825.13
Миграция данных в SQL базы с фокусом на безопасность,3663.14,62,670.49
Построение системы управления проектами на основе анализа требований,8589.11,145,1280.91
Внедрение автоматизированного тестирования ПО на основе анализа требований,12389.63,28,5586.15
Разработка дашбордов и отчетов для внутреннего использования,14608.38,85,7607.63
Разработка пользовательского интерфейса (UI) для конечных пользователей,4031.92,50,1755.31
Разработка моделей классификации и регрессии для финансового сектора,77622.27,292,21637.96
Разработка высокопроизводительного Android приложения для крупной корпорации,10109.01,284,1553.33
Создание интерактивных приложений на Unity для конечных пользователей,48520.22,496,15867.34
Backend разработка на основе анализа требований,12834.83,291,7698.16
UX-исследование и проектирование для образовательной платформы,12511.4,80,4020.77
Внедрение CI/CD для образовательной платформы,30217.9,134,9511.93
Создание интерфейсов взаимодействия для медицинской организации,20026.37,52,3760.47
Создание пользовательских интерфейсов для DApps для внутреннего использования,30912.33,119,11845.2
Разработка и аудит смарт-контрактов для крупной корпорации,53800.82,183,27542.54
Разработка нативного Android приложения с применением облачных технологий,53825.38,249,26555.79
Настройка и оптимизация Azure для стартапа,29136.43,93,12070.11
Разработка веб-приложения полного цикла для финансового сектора,11146.77,117,6196.35
Разработка решений на основе обработки естественного языка (NLP) для стартапа,80041.9,369,15703.0
Создание интерактивных приложений на Unity с фокусом на безопасность,18745.3,361,6629.81
Создание кроссплатформенного приложения (React Native) с фокусом на безопасность,12340.0,312,2379.75
Создание дизайна интерфейсов для медицинской организации,4140.84,41,1168.54
Проектирование и разработка SaaS решения для конечных пользователей,106743.02,607,37407.39
Создание логики децентрализованных приложений на блокчейне с расширенным функционалом,74004.41,400,11471.32
Проведение ручного тестирования ПО для финансового сектора,4918.55,26,1472.8
Создание интернет-магазина с нуля на основе анализа требований,56696.78,578,15505.12
Backend разработка для конечных пользователей,22425.8,81,5155.03
Разработка прошивок и ПО для IoT-устройств для внутреннего использования,7427.67,170,921.32
Оценка зрелости IT-инфраструктуры для стартапа,11661.91,46,2349.62
Разработка 2D/3D игр на Unity с расширенным функционалом,59172.53,112,31595.77
Создание ML-решений для предсказаний в сфере E-commerce,53455.18,416,17960.75
Развертывание решений по киберзащите с фокусом на безопасность,14243.3,178,5898.81
Создание мультиарендной SaaS платформы с использованием микросервисной архитектуры,39007.16,288,13312.4
Проведение аналитики больших данных для малого и среднего бизнеса,49933.33,146,16541.22
Разработка серверной части веб-приложения с учетом масштабируемости,11860.18,264,2177.41
Проведение аудита IT-безопасности с расширенным функционалом,5064.15,142,856.11
Разработка масштабируемой E-commerce платформы для малого и среднего бизнеса,39856.95,307,16526.48
Архитектура облачных решений на AWS для внутреннего использования,35826.16,176,17731.25
Разработка фронтенда и бэкенда для DApps для внутреннего использования,88714.43,296,18756.7
Функциональное тестирование программных продуктов для малого и среднего бизнеса,8613.26,58,3408.92
Создание клиентской части веб-приложения для малого и среднего бизнеса,9680.73,83,2327.96
Разработка систем компьютерного зрения для логистической компании,23040.01,415,12242.84
Создание конвейеров обработки Big Data для крупной корпорации,46890.08,73,24234.5
Проведение статистического анализа данных для медицинской организации,10932.06,123,2371.06
Создание чат-ботов и систем анализа текста для стартапа,22509.77,144,10425.35
Реинжиниринг бизнес-процессов для логистической компании,6751.74,15,1918.31
Оптимизация реляционных СУБД для малого и среднего бизнеса,17384.17,153,3568.73
Разработка смарт-контрактов на Solidity с использованием микросервисной архитектуры,77692.36,237,28009.67
Разработка моделей классификации и регрессии для внутреннего использования,25718.36,390,4653.94
Миграция в Azure для малого и среднего бизнеса,37823.54,127,20870.79
Аудит соответствия стандартам безопасности с фокусом на безопасность,22793.67,32,5780.34
Прикладная статистика для бизнеса для стартапа,22848.87,55,2594.45
Автоматизация бизнес-процессов для конечных пользователей,37622.92,161,17600.49
Настройка межсетевых экранов и систем обнаружения вторжений в сфере E-commerce,13465.26,43,8059.3
Построение системы управления проектами с применением облачных технологий,14934.17,93,3222.53
Разработка пользовательского опыта (UX) для крупной корпорации,4425.29,53,838.77
Анализ и интерпретация данных для принятия решений с фокусом на безопасность,19693.43,94,7197.17
Разработка нативного Android приложения для логистической компании,48420.1,64,21370.03
Управление облачной инфраструктурой в GCP для крупной корпорации,35297.62,136,9504.12
Автоматизация DevOps процессов для стартапа,11065.96,40,1623.21
Оказание технической поддержки второй и третьей линии для логистической компании,7785.25,14,3914.21
Разработка Flutter приложения с нуля для медицинской организации,45534.48,348,23214.17
Настройка ETL-процессов для интеграции данных для малого и среднего бизнеса,16939.65,235,4738.64
Интеграция ERP с другими системами для стартапа,109001.71,150,44458.66
Проведение аналитики больших данных с фокусом на безопасность,44597.74,311,9062.51
Экспертная IT-поддержка и решение инцидентов с расширенным функционалом,1161.07,34,300.07
Автоматизация бизнес-процессов с фокусом на безопасность,32773.36,249,16270.17
Проведение аудита IT-безопасности для крупной корпорации,20183.81,108,5255.17
Разработка пользовательского опыта (UX) на основе анализа требований,10652.88,36,4649.68
Разработка пользовательского опыта (UX) с фокусом на безопасность,6937.04,23,2731.21
Операционный IT-консалтинг для внутреннего использования,8976.6,33,3583.61
Разработка высокопроизводительного iOS приложения для логистической компании,38664.54,285,12399.94
Аутсорсинг функций IT-менеджмента с расширенным функционалом,22970.7,124,9718.03
Разработка фронтенда и бэкенда для DApps в сфере E-commerce,106180.21,196,16104.58
Разработка фронтенда и бэкенда для DApps в сфере E-commerce,110822.81,270,17582.8
Проектирование и разработка SaaS решения для конечных пользователей,109092.34,428,33214.26
Построение хранилищ больших данных с фокусом на безопасность,84521.61,219,38418.23
Внедрение алгоритмов распознавания образов с расширенным функционалом,53952.94,532,16987.42
Разработка фронтенда и бэкенда для DApps для образовательной платформы,41323.52,346,8361.28
Разработка игр на Unity для стартапа,45426.38,392,26810.24
Проведение пенетрационного тестирования (пентеста) в сфере E-commerce,6615.86,37,3816.18
Настройка и оптимизация GCP с расширенным функционалом,28232.85,190,9628.57
Обслуживание серверов и сетевого оборудования с использованием микросервисной архитектуры,5007.91,26,2614.7
Внедрение автоматизированного тестирования ПО для логистической компании,4264.35,115,1307.68
Создание облачной платформы для IoT для медицинской организации,13147.37,156,6362.86
Создание интернет-магазина с нуля для логистической компании,15345.91,285,8651.12
Миграция в GCP в сфере E-commerce,7774.71,64,4349.21
Создание интерактивных приложений на Unity для малого и среднего бизнеса,49695.78,305,8495.08
Проектирование и разработка SQL баз данных с использованием микросервисной архитектуры,4977.47,93,2727.76
Настройка и оптимизация GCP для стартапа,27767.35,160,7228.28
Управление IT-проектами по методологиям Agile/Waterfall с фокусом на безопасность,12852.53,82,5185.75
Стратегический IT-консалтинг для внутреннего использования,5541.57,24,1870.46
Разработка пользовательского интерфейса для крупной корпорации,8102.46,92,4590.68
Проектирование UI с применением облачных технологий,7555.44,19,1423.48
