Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Создание логики децентрализованных приложений на блокчейне для крупной корпорации,58247.4,51,9497.55
Создание решений для анализа изображений и видео для финансового сектора,81880.65,505,35329.49
Разработка систем компьютерного зрения для крупной корпорации,25502.93,226,10003.53
Стратегический IT-консалтинг с применением облачных технологий,11812.73,22,4996.67
Внедрение ERP-системы для медицинской организации,28323.31,170,13285.74
Разработка решений на основе обработки естественного языка (NLP) с применением облачных технологий,78973.15,203,12859.45
Разработка sentiment analysis моделей для крупной корпорации,57618.08,295,6801.83
Проектирование и разработка SaaS решения с применением облачных технологий,112594.55,404,41614.25
Разработка высококачественной графики на Unreal Engine для конечных пользователей,35713.89,465,13159.18
Оптимизация рабочих потоков для образовательной платформы,12103.98,170,6771.59
Создание чат-ботов и систем анализа текста на основе анализа требований,72224.72,474,11825.8
Разработка смарт-контрактов на Solidity для стартапа,41213.99,55,17149.48
Оптимизация IT-процессов для конечных пользователей,3043.38,44,521.39
Создание интерактивных приложений на Unity для крупной корпорации,57020.71,312,23144.23
Создание кроссплатформенного приложения (React Native) для крупной корпорации,42198.58,288,24755.36
Разработка пользовательского опыта (UX) для образовательной платформы,6504.78,28,2832.19
Разработка sentiment analysis моделей с использованием микросервисной архитектуры,74894.07,540,31959.52
Создание Android приложения под ключ с расширенным функционалом,19456.52,209,6563.14
Подбор IT-персонала для проекта для финансового сектора,32138.63,357,6186.01
Оказание технической поддержки первой линии для малого и среднего бизнеса,889.39,25,387.55
Проведение ручного тестирования ПО для финансового сектора,3889.35,52,740.02
Оптимизация рабочих потоков с учетом масштабируемости,36587.59,76,21807.55
Проектирование взаимодействия пользователя на основе анализа требований,3779.48,65,713.63
Разработка IT-стратегии с использованием микросервисной архитектуры,8032.19,116,2689.84
Построение BI-систем и аналитики с применением облачных технологий,18885.51,61,6663.07
Разработка sentiment analysis моделей для малого и среднего бизнеса,57099.03,473,20938.89
Проектирование и разработка веб-платформы для конечных пользователей,34155.89,106,17164.88
Fullstack разработка для финансового сектора,21290.15,234,6825.76
Разработка серверной части веб-приложения с учетом масштабируемости,5886.79,60,1626.7
Backend разработка в сфере E-commerce,25828.59,350,12199.19
Разработка sentiment analysis моделей для образовательной платформы,56046.69,103,30705.82
Построение хранилищ больших данных с расширенным функционалом,89630.59,131,51886.0
Стратегический IT-консалтинг для стартапа,16714.71,103,4837.76
Разработка веб-приложения полного цикла с применением облачных технологий,30739.8,127,11117.14
Разработка фронтенда и бэкенда для DApps для крупной корпорации,63781.01,66,19651.77
Разработка решений на основе обработки естественного языка (NLP) для финансового сектора,40186.26,166,8569.55
Разработка фронтенда и бэкенда для DApps для медицинской организации,103896.84,433,18407.99
Разработка прошивок и ПО для IoT-устройств для логистической компании,40148.7,275,6115.76
Создание интерфейсов взаимодействия с фокусом на безопасность,28882.92,151,12188.92
Разработка пайплайнов обработки данных в сфере E-commerce,31222.15,129,12330.5
Проектирование взаимодействия пользователя в сфере E-commerce,9911.68,60,4665.24
Создание пользовательских интерфейсов для DApps на основе анализа требований,98101.33,385,56193.35
Проведение ручного тестирования ПО для малого и среднего бизнеса,8992.18,43,1303.18
Создание интерфейсов взаимодействия с использованием микросервисной архитектуры,22093.29,111,6393.17
Создание облачной платформы для IoT для стартапа,18263.42,187,4933.72
Настройка и оптимизация AWS с фокусом на безопасность,4368.68,60,1236.63
Backend разработка для конечных пользователей,6944.95,209,1808.32
Внедрение 1C:ERP для конечных пользователей,58320.39,220,31206.96
Подбор IT-персонала для проекта для внутреннего использования,41459.84,238,16080.38
Разработка дашбордов и отчетов для стартапа,13469.13,91,1601.62
Разработка высокопроизводительного iOS приложения для образовательной платформы,56642.56,346,27703.25
Экспертная IT-поддержка и решение инцидентов для крупной корпорации,4174.89,19,1184.12
Разработка IT-стратегии с фокусом на безопасность,5846.0,55,1728.76
Разработка пайплайнов обработки данных для образовательной платформы,7439.45,226,1280.43
Консультации по цифровой трансформации для медицинской организации,16616.3,51,8431.73
Разработка пайплайнов обработки данных для логистической компании,15192.37,167,7017.93
Внедрение автоматизированного тестирования ПО для медицинской организации,7016.73,37,1125.21
Проведение аудита IT-безопасности с расширенным функционалом,3235.04,115,1314.9
Разработка серверной части для IoT-решений для малого и среднего бизнеса,29237.24,258,14575.13
Оказание технической поддержки второй и третьей линии для стартапа,7732.23,39,3106.24
Создание интернет-магазина с нуля для медицинской организации,94849.08,344,35457.26
Создание облачной платформы для IoT с расширенным функционалом,15140.52,91,7617.57
Настройка и оптимизация AWS для малого и среднего бизнеса,10460.21,102,4794.73
Операционный IT-консалтинг с применением облачных технологий,4100.03,43,2145.82
Разработка моделей классификации и регрессии для медицинской организации,45346.97,222,14290.13
Разработка мобильного приложения на React Native с фокусом на безопасность,48221.19,285,7110.81
Проведение аналитики больших данных с учетом масштабируемости,60718.24,205,6231.4
Разработка 2D/3D игр на Unity в сфере E-commerce,29219.19,279,10129.63
Настройка ETL-процессов для интеграции данных для конечных пользователей,28903.98,107,14052.45
Создание мультиарендной SaaS платформы с использованием микросервисной архитектуры,79919.36,523,26455.57
Развертывание решений по киберзащите для медицинской организации,17271.96,44,5732.74
Предоставление выделенной команды разработчиков с использованием микросервисной архитектуры,21116.45,168,3986.7
Разработка Flutter приложения с нуля для внутреннего использования,12753.44,205,5515.39
Подбор IT-персонала для проекта с учетом масштабируемости,45972.5,277,23364.05
Программирование встраиваемых систем для IoT с расширенным функционалом,45325.22,243,19796.66
Разработка прошивок и ПО для IoT-устройств для стартапа,39432.35,247,10505.1
Операционный IT-консалтинг для внутреннего использования,2075.48,39,642.04
Внедрение ERP-системы с учетом масштабируемости,47314.09,361,8841.04
Разработка смарт-контрактов на Solidity на основе анализа требований,26231.06,96,7445.57
Настройка и оптимизация GCP с учетом масштабируемости,3523.28,39,1586.29
Управление IT-проектами по методологиям Agile/Waterfall с учетом масштабируемости,20059.4,162,4741.08
Анализ уязвимостей веб-приложений в сфере E-commerce,26639.83,60,3668.94
Настройка межсетевых экранов и систем обнаружения вторжений с расширенным функционалом,23793.56,117,4835.32
Frontend разработка для конечных пользователей,11110.22,79,5377.33
Создание кроссплатформенного приложения (React Native) для логистической компании,66499.03,412,27129.24
Создание клиентской части веб-приложения с учетом масштабируемости,19667.6,87,9634.38
Оптимизация IT-процессов для крупной корпорации,3628.58,17,1624.83
Разработка масштабируемой E-commerce платформы для финансового сектора,52293.4,243,16362.01
Интеграция ERP с другими системами для медицинской организации,37284.28,276,12375.1
Разработка игр на Unity на основе анализа требований,24245.48,417,4215.64
Создание пользовательских интерфейсов для DApps с использованием микросервисной архитектуры,114900.13,263,40095.95
Внедрение Bitrix24 с фокусом на безопасность,41774.23,284,17537.57
Аутсорсинг функций IT-менеджмента с учетом масштабируемости,16867.7,68,4837.34
Внедрение комплексных систем безопасности на основе анализа требований,14979.39,95,2979.07
Проведение статистического анализа данных для конечных пользователей,15899.86,66,5607.61
Настройка автоматизации развертывания для образовательной платформы,24017.04,78,11279.25
Создание интерфейсов взаимодействия для логистической компании,34297.36,108,8421.8
Разработка пайплайнов обработки данных для образовательной платформы,21504.13,151,6770.37
Разработка мобильного приложения на React Native для образовательной платформы,20158.8,418,8665.47
Прикладная статистика для бизнеса на основе анализа требований,14822.52,79,1895.96
Разработка инфраструктуры для Big Data для стартапа,116404.3,167,40791.76
Извлечение ценной информации из Big Data для конечных пользователей,63223.59,408,28170.8
Разработка нативного Android приложения для конечных пользователей,38327.32,96,20165.63
Разработка sentiment analysis моделей с применением облачных технологий,60401.04,543,12519.08
Консультации по цифровой трансформации с применением облачных технологий,11554.86,53,2866.96
Проектирование и разработка NoSQL баз данных для логистической компании,27546.45,120,13491.18
Разработка sentiment analysis моделей для конечных пользователей,23404.06,177,5956.53
Интеграция ERP с другими системами для стартапа,74228.67,97,29120.66
Разработка API для интеграции систем с расширенным функционалом,12888.0,63,2603.86
Внедрение алгоритмов распознавания образов для крупной корпорации,17908.44,108,7422.39
Создание AAA-проектов на Unreal Engine для крупной корпорации,12842.89,205,6328.93
Внедрение Bitrix24 для финансового сектора,33191.26,179,4066.69
Разработка серверной части для IoT-решений с расширенным функционалом,57254.07,395,10277.94
Предоставление команды IT-специалистов с фокусом на безопасность,22468.39,287,12926.34
Разработка масштабируемой E-commerce платформы для внутреннего использования,21209.05,527,7976.38
Оптимизация рабочих потоков с расширенным функционалом,11369.89,223,5821.73
Разработка инфраструктуры для Big Data для внутреннего использования,70606.87,427,27845.04
Создание ML-решений для предсказаний для конечных пользователей,46520.49,299,12735.32
Разработка тестовых сценариев и фреймворков для финансового сектора,7972.13,110,3735.86
Внедрение комплексных систем безопасности с учетом масштабируемости,12595.57,102,7453.06
Миграция в GCP с применением облачных технологий,39207.85,113,12389.78
Разработка тестовых сценариев и фреймворков на основе анализа требований,4317.43,27,1369.18
Анализ и интерпретация данных для принятия решений с учетом масштабируемости,10929.19,130,5780.43
Архитектура облачных решений на Azure для стартапа,34559.61,25,19672.32
Консультации по цифровой трансформации для образовательной платформы,8276.15,24,3213.76
Операционный IT-консалтинг с использованием микросервисной архитектуры,1022.09,16,492.07
Консультации по цифровой трансформации для финансового сектора,9920.94,21,4233.12
Извлечение ценной информации из Big Data для логистической компании,78034.62,451,15500.65
Создание фулстек решения на основе анализа требований,52366.58,273,10025.95
Создание Android приложения под ключ с фокусом на безопасность,54491.57,281,14522.48
Управление IT-проектами по методологиям Agile/Waterfall в сфере E-commerce,4623.78,123,571.26
Внедрение AmoCRM для стартапа,17175.15,51,2635.01
Проведение аудита IT-безопасности в сфере E-commerce,20690.28,111,9900.68
Управление IT-проектами по методологиям Agile/Waterfall с применением облачных технологий,21266.1,105,4939.81
Разработка игр на Unity для малого и среднего бизнеса,49428.94,100,19974.32
Создание ML-решений для предсказаний на основе анализа требований,53509.0,177,13737.68
Настройка и адаптация CRM для отдела продаж на основе анализа требований,39336.77,64,5203.84
Разработка облачного SaaS продукта для стартапа,111429.1,571,59313.21
Создание мультиарендной SaaS платформы с применением облачных технологий,53384.55,203,6468.39
Разработка пользовательского интерфейса с фокусом на безопасность,3341.17,119,1642.34
Создание логики децентрализованных приложений на блокчейне для стартапа,67900.24,356,37059.25
Создание интернет-магазина с нуля для логистической компании,51998.06,390,13453.46
Автоматизация бизнес-процессов на основе анализа требований,40597.47,121,22347.84
UX-исследование и проектирование для конечных пользователей,10939.27,82,3158.0
Разработка пользовательского интерфейса для финансового сектора,9742.06,161,5562.74
Создание дизайна интерфейсов для стартапа,5320.51,13,845.1
Внедрение алгоритмов распознавания образов в сфере E-commerce,53075.37,211,11589.91
Интеграция ERP с другими системами с фокусом на безопасность,87124.64,287,17569.59
Разработка пользовательского интерфейса для малого и среднего бизнеса,9810.12,196,1865.73
Создание мультиарендной SaaS платформы для малого и среднего бизнеса,29039.4,251,10996.57
Создание фулстек решения на основе анализа требований,47748.41,64,11039.68
Управление IT-проектами по методологиям Agile/Waterfall с учетом масштабируемости,4690.48,103,1690.11
Управление IT-проектами по методологиям Agile/Waterfall для стартапа,17454.9,161,8351.8
Проектирование UI для конечных пользователей,6221.98,56,1051.19
Разработка высокопроизводительного iOS приложения на основе анализа требований,7524.66,150,1501.25
Архитектура облачных решений на GCP на основе анализа требований,12242.66,155,5044.91
Настройка и оптимизация GCP для медицинской организации,11052.43,39,3745.07
Операционный IT-консалтинг для стартапа,8089.03,23,2580.77
Оптимизация рабочих потоков в сфере E-commerce,16006.63,183,2846.11
Построение DWH и витрин данных для финансового сектора,31277.12,80,9880.15
Операционный IT-консалтинг для финансового сектора,5903.7,51,3537.94
Миграция в AWS с фокусом на безопасность,25495.94,79,7874.86
Реинжиниринг бизнес-процессов для внутреннего использования,2196.79,20,627.62
Программирование встраиваемых систем для IoT для финансового сектора,44246.75,44,18750.88
Приемочное тестирование в сфере E-commerce,2269.98,58,1271.96
Оптимизация рабочих потоков в сфере E-commerce,23044.9,166,10220.14
Разработка высокопроизводительного Android приложения с расширенным функционалом,49328.0,333,8138.37
Разработка фронтенда и бэкенда для DApps для медицинской организации,57177.98,204,7301.58
Миграция данных в SQL базы на основе анализа требований,3523.06,56,1102.06
Базовая IT-поддержка пользователей с применением облачных технологий,485.51,29,229.13
Разработка API для стартапа,11377.03,309,2857.71
Построение DWH и витрин данных с учетом масштабируемости,5515.57,129,3092.8
Разработка B2B/B2C E-commerce решения для конечных пользователей,46407.94,417,19308.75
Построение хранилищ больших данных с применением облачных технологий,87924.38,136,38632.73
Проектирование и реализация RESTful/GraphQL API с фокусом на безопасность,22999.39,187,12126.1
Оптимизация IT-процессов для крупной корпорации,6816.03,46,1085.31
Разработка 2D/3D игр на Unity с фокусом на безопасность,60066.63,136,17471.06
Проведение пенетрационного тестирования (пентеста) в сфере E-commerce,7419.93,83,1077.79
Создание кроссплатформенного приложения (Flutter) для стартапа,20942.08,188,8315.84
Проведение пенетрационного тестирования (пентеста) с расширенным функционалом,27052.83,67,9131.11
Разработка серверной части для IoT-решений с использованием микросервисной архитектуры,18629.3,268,2931.28
Внедрение алгоритмов распознавания образов для финансового сектора,27294.87,376,11160.57
Интеграция CRM с маркетинговыми инструментами для крупной корпорации,33535.6,119,16556.02
Разработка пользовательского интерфейса (UI) в сфере E-commerce,1623.55,53,449.91
Приемочное тестирование с применением облачных технологий,4959.09,17,2377.73
Реинжиниринг бизнес-процессов с учетом масштабируемости,7712.79,49,929.94
Миграция в GCP для логистической компании,35675.7,122,12011.38
Проектирование и разработка веб-платформы с фокусом на безопасность,11673.27,328,1368.98
Разработка IT-стратегии с расширенным функционалом,12922.32,25,4388.45
Создание пользовательских интерфейсов для DApps с применением облачных технологий,72780.68,156,40944.1
Разработка игр на Unity для крупной корпорации,54129.59,434,7618.42
Разработка нативного Android приложения для образовательной платформы,25737.48,292,4826.54
Разработка пользовательского опыта (UX) на основе анализа требований,14219.55,60,4747.89
Предоставление выделенной команды разработчиков с учетом масштабируемости,40837.9,178,18824.71
Архитектура облачных решений на Azure для образовательной платформы,24055.87,186,2921.91
Управление IT-проектами по методологиям Agile/Waterfall с учетом масштабируемости,8318.29,177,2367.11
Разработка нативного Android приложения для малого и среднего бизнеса,30743.75,252,16150.25
Консультации по цифровой трансформации на основе анализа требований,4800.94,92,1586.14
Создание мультиарендной SaaS платформы в сфере E-commerce,18738.84,608,4322.18
Разработка Flutter приложения с нуля в сфере E-commerce,55880.95,358,16481.06
Fullstack разработка для внутреннего использования,56841.12,336,18111.19
Создание Android приложения под ключ с использованием микросервисной архитектуры,51138.8,275,22291.3
Интеграция ERP с другими системами с фокусом на безопасность,76246.7,344,32792.04
Настройка ETL-процессов для интеграции данных с расширенным функционалом,23899.95,53,5510.58
Разработка фронтенда и бэкенда для DApps для образовательной платформы,68928.04,326,17523.77
Извлечение ценной информации из Big Data для конечных пользователей,39995.84,153,6596.83
Масштабирование NoSQL баз данных с применением облачных технологий,20629.83,136,9126.95
Разработка систем компьютерного зрения для логистической компании,23222.37,75,8418.96
Проведение пенетрационного тестирования (пентеста) для медицинской организации,30551.43,80,5515.53
Построение хранилищ больших данных с использованием микросервисной архитектуры,65318.9,415,34094.28
Разработка IT-стратегии для конечных пользователей,13021.6,75,1715.21
Создание чат-ботов и систем анализа текста с использованием микросервисной архитектуры,36312.63,283,17762.43
Построение системы управления проектами для логистической компании,19258.87,71,3922.17
Анализ уязвимостей веб-приложений для образовательной платформы,12749.29,97,1355.13
Разработка систем компьютерного зрения для образовательной платформы,21299.57,78,12205.64
Аутсорсинг функций IT-менеджмента для медицинской организации,7315.44,83,1540.55
Разработка моделей классификации и регрессии с применением облачных технологий,14659.73,303,8466.03
Построение системы управления проектами с использованием микросервисной архитектуры,11017.36,66,1253.98
Проектирование и разработка веб-платформы с расширенным функционалом,24362.06,338,13367.58
Анализ и интерпретация данных для принятия решений с применением облачных технологий,8588.83,110,3478.18
Проектирование и разработка SaaS решения для внутреннего использования,99868.52,158,57302.44
Проведение аналитики больших данных для финансового сектора,51983.74,75,11916.15
Настройка и адаптация корпоративной ERP для стартапа,37259.52,556,15843.45
Внедрение SAP S/4HANA для логистической компании,57619.24,315,20834.17
Разработка высокопроизводительного iOS приложения для крупной корпорации,20167.71,346,7527.56
Создание iOS приложения под ключ на основе анализа требований,34845.43,152,14513.16
Разработка Firmware для микроконтроллеров для крупной корпорации,28528.01,276,4884.79
Разработка React Native приложения с нуля для малого и среднего бизнеса,21490.32,170,7549.11
Оказание технической поддержки первой линии с фокусом на безопасность,2525.43,18,1143.31
Оценка уровня защищенности систем в сфере E-commerce,15140.94,25,6388.21
Построение прогнозных моделей с применением облачных технологий,73153.62,475,13228.4
Внедрение корпоративной аналитики с применением облачных технологий,17281.47,99,4406.34
Стратегический IT-консалтинг для стартапа,12816.47,95,3167.01
Проектирование и разработка веб-платформы для медицинской организации,27957.93,181,3211.02
Подбор IT-персонала для проекта для логистической компании,8382.5,91,3156.11
Backend разработка для конечных пользователей,31908.86,142,9481.84
Создание интерфейсов взаимодействия с использованием микросервисной архитектуры,4359.37,156,1267.2
Настройка и оптимизация GCP для внутреннего использования,18674.25,116,5784.07
Разработка B2B/B2C E-commerce решения для образовательной платформы,46875.49,402,26895.99
Проектирование взаимодействия пользователя для медицинской организации,6288.07,52,1879.75
Масштабирование NoSQL баз данных с применением облачных технологий,8208.52,35,963.91
Разработка Flutter приложения с нуля для финансового сектора,33278.84,79,11534.08
Разработка моделей классификации и регрессии для конечных пользователей,52954.71,464,22498.88
Разработка маркетплейса для финансового сектора,12565.66,287,5885.09
Разработка Flutter приложения с нуля для медицинской организации,26450.68,372,5737.44
Функциональное тестирование программных продуктов в сфере E-commerce,8883.36,51,1189.78
Настройка ETL-процессов для интеграции данных для внутреннего использования,14862.02,94,3574.28
Разработка высококачественной графики на Unreal Engine для стартапа,79512.73,469,45846.45
Оценка уровня защищенности систем для внутреннего использования,5260.71,20,1140.46
Разработка маркетплейса с фокусом на безопасность,79404.36,269,22963.47
Архитектура облачных решений на GCP для конечных пользователей,23831.48,191,11363.67
Разработка решений на основе обработки естественного языка (NLP) с фокусом на безопасность,52447.34,87,19011.94
Backend разработка для крупной корпорации,11170.37,259,3591.75
Создание дизайна интерфейсов с фокусом на безопасность,8995.95,44,4873.33
Разработка масштабируемой E-commerce платформы для образовательной платформы,31888.31,273,3844.06
Разработка инфраструктуры для Big Data с использованием микросервисной архитектуры,22096.05,360,9817.73
Извлечение ценной информации из Big Data для медицинской организации,53355.55,402,17309.32
Разработка React Native приложения с нуля для логистической компании,40399.24,148,14521.63
Разработка пользовательского интерфейса для внутреннего использования,15335.8,149,4872.33
Анализ и интерпретация данных для принятия решений для стартапа,6322.28,138,3528.45
Предоставление выделенной команды разработчиков для крупной корпорации,16337.38,68,8797.76
Извлечение ценной информации из Big Data для крупной корпорации,69443.07,70,35061.3
Внедрение AmoCRM для логистической компании,18245.0,245,2828.06
Разработка 2D/3D игр на Unity для конечных пользователей,14706.73,110,7072.98
Разработка мобильного приложения на Flutter с расширенным функционалом,46151.52,201,22599.2
Создание кроссплатформенного приложения (Flutter) с применением облачных технологий,68928.76,119,31410.8
Программирование встраиваемых систем для IoT для финансового сектора,9301.21,291,2880.68
Разработка решений на основе обработки естественного языка (NLP) для внутреннего использования,55486.74,445,10937.01
Внедрение алгоритмов распознавания образов с использованием микросервисной архитектуры,59362.99,163,21166.04
Миграция в Azure для логистической компании,8276.6,51,2764.09
Разработка бэкенда для управления IoT-устройствами в сфере E-commerce,16901.61,87,2948.81
Миграция в Azure с расширенным функционалом,24738.19,124,6978.02
Разработка Flutter приложения с нуля для медицинской организации,13327.29,375,6749.8
Разработка 2D/3D игр на Unity в сфере E-commerce,52308.65,484,10540.02
Разработка sentiment analysis моделей для малого и среднего бизнеса,86606.82,376,29281.53
Создание облачной платформы для IoT для стартапа,23996.92,72,9803.74
Разработка инфраструктуры для Big Data для стартапа,106337.54,386,51153.37
Создание iOS приложения под ключ для конечных пользователей,62626.94,301,27272.47
Настройка межсетевых экранов и систем обнаружения вторжений на основе анализа требований,29568.76,188,13096.09
Проведение пенетрационного тестирования (пентеста) с применением облачных технологий,23220.98,72,7909.64
Разработка аналитических моделей для Big Data для медицинской организации,24582.6,334,6427.93
Разработка высококачественной графики на Unreal Engine с фокусом на безопасность,39700.33,198,18629.47
Разработка пользовательского интерфейса (UI) для малого и среднего бизнеса,1247.75,48,278.1
Разработка смарт-контрактов на Solidity с применением облачных технологий,20326.49,246,2374.59
Разработка игр на Unreal Engine на основе анализа требований,33316.21,537,7476.55
Программирование встраиваемых систем для IoT для образовательной платформы,44741.58,316,5739.61
UX-исследование и проектирование с применением облачных технологий,4081.48,60,1785.13
Миграция данных в SQL базы с применением облачных технологий,25840.85,120,14774.14
Оценка уровня защищенности систем с применением облачных технологий,19204.0,61,11419.81
Анализ уязвимостей веб-приложений для образовательной платформы,5973.04,173,2531.79
Архитектура облачных решений на Azure для крупной корпорации,16732.11,42,2333.81
Автоматизация регрессионного тестирования для медицинской организации,13538.09,120,6393.99
Разработка React Native приложения с нуля для медицинской организации,39162.27,57,18795.03
Внедрение комплексных систем безопасности с учетом масштабируемости,15928.84,143,7281.59
Базовая IT-поддержка пользователей для конечных пользователей,3379.19,15,1317.78
Frontend разработка с фокусом на безопасность,3339.52,175,1451.44
Настройка автоматизации развертывания для медицинской организации,14934.78,174,6716.06
Проектирование и разработка веб-платформы для стартапа,64002.28,283,36933.37
Аутсорсинг разработки для конечных пользователей,13656.75,119,8017.17
Создание пользовательских интерфейсов для DApps для конечных пользователей,43991.99,480,6978.9
Интеграция ERP с другими системами на основе анализа требований,92131.58,178,43589.93
Анализ уязвимостей веб-приложений для малого и среднего бизнеса,24865.14,150,2687.73
Создание логики децентрализованных приложений на блокчейне для внутреннего использования,80411.01,177,36237.17
Разработка React Native приложения с нуля на основе анализа требований,14917.88,413,7226.93
Создание пользовательских интерфейсов для DApps с расширенным функционалом,105124.7,276,21438.82
Настройка автоматизации развертывания с учетом масштабируемости,24199.75,175,11266.69
Построение BI-систем и аналитики для образовательной платформы,19502.11,34,8344.71
Создание интерактивных приложений на Unity с учетом масштабируемости,13112.82,256,7018.24
Создание кроссплатформенного приложения (React Native) для малого и среднего бизнеса,43217.01,177,9064.51
Анализ уязвимостей веб-приложений с применением облачных технологий,11507.4,148,4084.08
Внедрение AmoCRM для малого и среднего бизнеса,27193.79,43,8443.67
Разработка бэкенда для управления IoT-устройствами с учетом масштабируемости,10077.73,163,4149.39
Разработка пользовательского опыта (UX) с применением облачных технологий,8959.02,31,3369.11
Операционный IT-консалтинг с фокусом на безопасность,2401.84,47,975.83
Проектирование и разработка SQL баз данных с учетом масштабируемости,6926.76,45,1884.86
Разработка аналитических моделей для Big Data для конечных пользователей,38866.53,158,8476.38
Построение хранилищ больших данных для медицинской организации,90401.95,141,30929.59
Внедрение Bitrix24 для медицинской организации,44637.98,78,10575.88
Создание Android приложения под ключ для логистической компании,11530.01,210,5782.39
Прикладная статистика для бизнеса с использованием микросервисной архитектуры,4516.3,84,1919.28
Проектирование и разработка SaaS решения для медицинской организации,18803.11,282,7824.13
Разработка веб-приложения полного цикла для крупной корпорации,50041.41,297,30024.15
Разработка пайплайнов обработки данных для логистической компании,21875.5,189,11541.72
Создание бэкенда для медицинской организации,33723.28,197,7818.4
Миграция данных в SQL базы в сфере E-commerce,21664.49,81,2175.62
Создание решений для анализа изображений и видео для логистической компании,80429.07,220,31510.29
