Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Проектирование и разработка NoSQL баз данных с учетом масштабируемости,26780.76,98,9991.39
Создание решений для анализа изображений и видео с фокусом на безопасность,38755.47,390,10827.72
Разработка высокопроизводительного Android приложения для внутреннего использования,10030.41,243,5205.14
Разработка пайплайнов обработки данных для внутреннего использования,33339.85,221,8060.84
Разработка мобильного приложения на Flutter с расширенным функционалом,23085.75,350,13477.39
Развертывание решений по киберзащите для внутреннего использования,20512.38,144,12285.69
Создание конвейеров обработки Big Data для стартапа,44035.7,446,17779.33
Оказание технической поддержки первой линии с фокусом на безопасность,2712.08,30,1433.9
Разработка пользовательского опыта (UX) для конечных пользователей,13374.31,23,3748.56
Разработка нативного Android приложения с расширенным функционалом,21962.11,293,12098.2
Внедрение SAP S/4HANA на основе анализа требований,95479.75,614,53441.88
Создание пользовательских интерфейсов для DApps для финансового сектора,34876.49,108,4368.81
Управление облачной инфраструктурой в AWS для конечных пользователей,5385.65,80,979.88
Настройка и адаптация CRM для отдела продаж на основе анализа требований,14288.28,235,3314.22
Стратегический IT-консалтинг для крупной корпорации,19412.75,86,4238.87
Создание конвейеров обработки Big Data с расширенным функционалом,90966.91,230,11580.95
Создание клиентской части веб-приложения для внутреннего использования,9306.29,230,3649.64
Разработка IT-стратегии с применением облачных технологий,7708.81,47,3077.13
Разработка тестовых сценариев и фреймворков для логистической компании,18683.79,111,7908.4
Реинжиниринг бизнес-процессов с фокусом на безопасность,7364.4,38,2917.56
Разработка пользовательского интерфейса для медицинской организации,11046.1,255,5530.19
Настройка межсетевых экранов и систем обнаружения вторжений с учетом масштабируемости,12630.09,83,2488.5
Проектирование взаимодействия пользователя в сфере E-commerce,9953.26,17,3911.14
Развертывание решений по киберзащите с использованием микросервисной архитектуры,9142.55,45,4051.17
Проведение аудита IT-безопасности для логистической компании,14754.27,57,4590.69
Базовая IT-поддержка пользователей для образовательной платформы,1238.53,16,685.15
Управление облачной инфраструктурой в GCP с фокусом на безопасность,28552.19,66,14500.03
Создание чат-ботов и систем анализа текста для малого и среднего бизнеса,15851.16,420,5184.23
Разработка пайплайнов обработки данных в сфере E-commerce,10629.77,116,2211.24
Разработка Firmware для микроконтроллеров для стартапа,13289.52,239,7064.52
Разработка и аудит смарт-контрактов в сфере E-commerce,36929.74,149,18468.44
Разработка нативного Android приложения для финансового сектора,59940.29,347,12068.99
Построение прогнозных моделей для финансового сектора,74108.73,432,17502.37
Интеграция ERP с другими системами на основе анализа требований,41686.66,386,6078.47
Создание ML-решений для предсказаний для крупной корпорации,78695.89,355,14954.81
Создание нереляционных хранилищ данных с использованием микросервисной архитектуры,4840.68,95,2537.52
Настройка и оптимизация Azure для конечных пользователей,3532.57,172,436.23
Внедрение BPM-систем для малого и среднего бизнеса,47021.06,262,22273.86
Аудит соответствия стандартам безопасности для логистической компании,23839.27,144,10433.26
Приемочное тестирование для стартапа,4261.13,22,914.14
Проектирование и разработка SQL баз данных для стартапа,26514.19,44,10057.01
Аудит соответствия стандартам безопасности с учетом масштабируемости,7080.93,50,1074.65
Внедрение CI/CD в сфере E-commerce,24544.39,129,9830.19
Анализ уязвимостей веб-приложений для крупной корпорации,24156.04,34,13025.49
Построение хранилищ больших данных для образовательной платформы,32684.15,161,12392.48
Разработка нативного iOS приложения для малого и среднего бизнеса,31737.95,336,16143.65
Внедрение корпоративной аналитики с применением облачных технологий,9178.58,115,5410.18
Создание AAA-проектов на Unreal Engine для стартапа,12821.47,410,5066.51
Функциональное тестирование программных продуктов с применением облачных технологий,7173.4,48,3298.53
Создание Android приложения под ключ для логистической компании,25024.34,292,8826.57
Оптимизация IT-процессов для внутреннего использования,8659.13,45,4920.71
Оптимизация рабочих потоков с расширенным функционалом,17845.49,297,8215.08
Создание нереляционных хранилищ данных с расширенным функционалом,20456.5,64,11468.41
Интеграция ERP с другими системами для логистической компании,49523.11,560,14413.35
Создание клиентской части веб-приложения с учетом масштабируемости,19122.05,124,10825.38
Создание дизайна интерфейсов с использованием микросервисной архитектуры,8580.14,15,4334.6
Настройка автоматизации развертывания с использованием микросервисной архитектуры,22249.74,139,8986.77
Разработка бэкенда для управления IoT-устройствами с применением облачных технологий,55353.16,216,15046.19
Разработка пользовательского опыта (UX) для финансового сектора,14833.61,18,5973.77
Базовая IT-поддержка пользователей для конечных пользователей,2058.3,17,876.13
Разработка Flutter приложения с нуля с учетом масштабируемости,30147.21,142,8682.03
Проектирование и разработка SaaS решения с применением облачных технологий,79739.6,495,35421.4
Реинжиниринг бизнес-процессов для стартапа,5687.32,37,1348.19
Интеграция ERP с другими системами для стартапа,98265.16,530,26299.57
Разработка игр на Unreal Engine для конечных пользователей,48882.6,356,12189.25
Экспертная IT-поддержка и решение инцидентов для медицинской организации,3471.9,13,767.74
Настройка и оптимизация AWS для логистической компании,4398.88,178,763.53
Создание бэкенда для медицинской организации,27511.21,279,14253.13
Проектирование взаимодействия пользователя с использованием микросервисной архитектуры,2233.93,50,826.53
Настройка межсетевых экранов и систем обнаружения вторжений для крупной корпорации,28113.68,195,10862.2
Архитектура облачных решений на Azure для логистической компании,31693.91,25,3811.04
Разработка 2D/3D игр на Unity с применением облачных технологий,21092.68,75,8516.14
Стратегический IT-консалтинг с применением облачных технологий,10396.71,78,2374.29
Миграция данных в SQL базы в сфере E-commerce,9403.53,130,3375.62
Автоматизация бизнес-процессов для внутреннего использования,39667.28,186,11506.01
Frontend разработка для медицинской организации,21165.92,132,12300.66
Программирование встраиваемых систем для IoT для крупной корпорации,12186.09,49,6822.32
Проведение пенетрационного тестирования (пентеста) с учетом масштабируемости,32444.64,75,15132.47
Внедрение алгоритмов распознавания образов для внутреннего использования,39582.36,477,8766.51
Автоматизация регрессионного тестирования для малого и среднего бизнеса,8722.38,63,4747.56
Создание кроссплатформенного приложения (React Native) для образовательной платформы,39666.23,361,15271.34
Разработка пользовательского интерфейса с фокусом на безопасность,19052.25,99,4736.68
Fullstack разработка для образовательной платформы,50883.37,147,26204.1
Создание чат-ботов и систем анализа текста для финансового сектора,21342.81,422,7146.92
Масштабирование NoSQL баз данных для логистической компании,4637.51,120,2269.85
Создание интерфейсов взаимодействия с применением облачных технологий,31054.22,58,16422.5
Frontend разработка с применением облачных технологий,13550.37,59,6955.7
Управление облачной инфраструктурой в Azure на основе анализа требований,7146.44,168,3473.79
Создание решений для анализа изображений и видео для внутреннего использования,61126.53,450,13936.69
Разработка API для крупной корпорации,27782.3,94,5275.16
Разработка высокопроизводительного iOS приложения для образовательной платформы,38077.29,356,7082.37
Создание ML-решений для предсказаний для малого и среднего бизнеса,32665.69,204,6162.71
Аудит соответствия стандартам безопасности для логистической компании,23171.86,50,4615.15
Внедрение BPM-систем с расширенным функционалом,19590.45,101,10556.22
Миграция в AWS с применением облачных технологий,34752.48,60,17457.72
Разработка облачного SaaS продукта с учетом масштабируемости,46839.41,196,20769.85
Разработка веб-приложения полного цикла для внутреннего использования,48428.37,179,9996.1
Создание интерактивных приложений на Unity для малого и среднего бизнеса,29585.65,136,16656.2
Разработка пользовательского интерфейса (UI) с учетом масштабируемости,3823.6,31,2168.3
Разработка игр на Unity для логистической компании,62825.42,77,14574.88
UX-исследование и проектирование для медицинской организации,1605.22,53,595.59
Приемочное тестирование с использованием микросервисной архитектуры,1533.03,46,812.24
Настройка межсетевых экранов и систем обнаружения вторжений с расширенным функционалом,12486.06,48,4637.77
Приемочное тестирование на основе анализа требований,6411.51,16,1340.94
Миграция в Azure для финансового сектора,8150.68,92,1869.62
Разработка нативного Android приложения для внутреннего использования,47384.67,342,6855.61
Создание решений для анализа изображений и видео для логистической компании,37482.85,524,12087.45
Разработка 2D/3D игр на Unity для образовательной платформы,41245.97,313,17940.97
Создание AAA-проектов на Unreal Engine для логистической компании,45608.22,311,10663.04
Разработка децентрализованных приложений (DApps) на основе анализа требований,27935.81,160,4788.47
Внедрение 1C:ERP с применением облачных технологий,79183.21,470,16678.85
Разработка фронтенда и бэкенда для DApps для медицинской организации,93523.24,350,47817.41
Разработка прошивок и ПО для IoT-устройств для крупной корпорации,13713.2,155,5258.64
Консультации по цифровой трансформации с фокусом на безопасность,17153.99,85,8693.21
Разработка Firmware для микроконтроллеров для внутреннего использования,35761.03,75,10337.72
Разработка высокопроизводительного Android приложения с учетом масштабируемости,24011.05,149,11399.62
Разработка и аудит смарт-контрактов с фокусом на безопасность,37806.72,51,20805.45
Проектирование и разработка NoSQL баз данных для конечных пользователей,8582.17,164,1766.23
Разработка React Native приложения с нуля для финансового сектора,63077.65,268,22819.55
Разработка дашбордов и отчетов в сфере E-commerce,12244.22,99,4021.37
Построение системы управления проектами для крупной корпорации,15772.75,152,6564.42
Внедрение Bitrix24 с фокусом на безопасность,23664.5,64,10142.9
Разработка нативного iOS приложения с фокусом на безопасность,17664.01,121,5596.07
Разработка React Native приложения с нуля с учетом масштабируемости,8236.24,386,2643.3
Разработка нативного iOS приложения с расширенным функционалом,17999.66,180,7770.51
Развертывание решений по киберзащите с расширенным функционалом,22760.69,180,4602.61
Разработка sentiment analysis моделей для крупной корпорации,82165.07,182,45888.9
Проектирование и разработка веб-платформы для медицинской организации,14744.24,205,2255.52
Реинжиниринг бизнес-процессов с фокусом на безопасность,3107.29,48,832.26
Frontend разработка для финансового сектора,5766.02,127,1443.38
Базовая IT-поддержка пользователей с учетом масштабируемости,2818.19,18,810.7
Frontend разработка для финансового сектора,9415.09,124,2834.38
Создание AAA-проектов на Unreal Engine для конечных пользователей,37280.77,77,4333.24
Проведение ручного тестирования ПО для внутреннего использования,9211.77,10,3496.13
Базовая IT-поддержка пользователей на основе анализа требований,502.28,19,217.66
Проектирование и разработка веб-платформы с расширенным функционалом,67919.69,338,19142.53
Разработка мобильного приложения на React Native с фокусом на безопасность,63575.37,276,28775.13
Разработка высокопроизводительного iOS приложения с учетом масштабируемости,61733.66,109,12821.79
Создание пользовательских интерфейсов для DApps на основе анализа требований,119193.87,466,17476.53
Разработка Flutter приложения с нуля с учетом масштабируемости,52130.54,274,18857.23
Разработка масштабируемой E-commerce платформы с фокусом на безопасность,66016.3,182,34299.96
Автоматизация регрессионного тестирования для финансового сектора,5802.45,87,1716.97
Создание решений для анализа изображений и видео с учетом масштабируемости,55973.43,322,26904.28
Миграция данных в SQL базы для логистической компании,27517.9,144,15155.59
Функциональное тестирование программных продуктов с учетом масштабируемости,7653.33,37,2143.42
Разработка фронтенда и бэкенда для DApps с применением облачных технологий,15517.94,263,8267.28
Разработка нативного iOS приложения с расширенным функционалом,28226.72,395,15522.0
Миграция в Azure с применением облачных технологий,27391.89,180,15065.96
Миграция в GCP с расширенным функционалом,30650.41,126,11338.54
Миграция в Azure с фокусом на безопасность,7474.47,162,2182.31
Разработка смарт-контрактов на Solidity с учетом масштабируемости,73635.59,178,30376.33
Внедрение CI/CD с фокусом на безопасность,34050.96,177,12182.5
Стратегический IT-консалтинг для финансового сектора,14635.72,72,3773.2
Разработка маркетплейса с использованием микросервисной архитектуры,88622.93,548,13378.77
Предоставление выделенной команды разработчиков для стартапа,39653.0,338,7432.21
Разработка тестовых сценариев и фреймворков для медицинской организации,15171.86,115,7536.52
Масштабирование NoSQL баз данных для малого и среднего бизнеса,4031.06,197,2300.14
Разработка React Native приложения с нуля с расширенным функционалом,58639.96,90,5956.32
Разработка высокопроизводительного iOS приложения для образовательной платформы,33617.16,350,16138.92
Настройка и оптимизация GCP с применением облачных технологий,29511.77,84,7783.39
Разработка и аудит смарт-контрактов для образовательной платформы,38636.91,136,8027.23
Создание логики децентрализованных приложений на блокчейне для медицинской организации,62392.99,254,32249.24
Разработка решений на основе обработки естественного языка (NLP) с расширенным функционалом,36897.79,507,20308.5
Консультации по цифровой трансформации для логистической компании,8400.39,38,1697.93
Оказание технической поддержки второй и третьей линии с расширенным функционалом,5716.24,33,1872.48
Разработка прошивок и ПО для IoT-устройств в сфере E-commerce,37818.0,143,17330.48
Миграция в AWS в сфере E-commerce,38817.63,50,17657.27
Проектирование взаимодействия пользователя для логистической компании,5534.56,25,2061.31
Проектирование и разработка NoSQL баз данных для малого и среднего бизнеса,24987.9,124,11437.13
Прикладная статистика для бизнеса в сфере E-commerce,14264.82,147,7082.79
Управление облачной инфраструктурой в Azure для логистической компании,30928.87,85,13788.22
Разработка пользовательского интерфейса с фокусом на безопасность,7167.15,214,1705.2
Извлечение ценной информации из Big Data для образовательной платформы,41387.33,353,20575.37
Оценка зрелости IT-инфраструктуры для образовательной платформы,12914.61,94,5557.32
Разработка решений на основе обработки естественного языка (NLP) с фокусом на безопасность,24320.48,495,3819.45
Создание клиентской части веб-приложения для стартапа,26106.79,139,5618.99
UX-исследование и проектирование с фокусом на безопасность,10157.76,84,3996.2
Оптимизация рабочих потоков с использованием микросервисной архитектуры,29224.29,219,13089.6
Создание Android приложения под ключ для малого и среднего бизнеса,33720.58,217,5698.02
Развертывание решений по киберзащите на основе анализа требований,15206.07,91,3896.35
Разработка облачного SaaS продукта для внутреннего использования,109043.96,214,24311.5
Настройка межсетевых экранов и систем обнаружения вторжений с фокусом на безопасность,13449.67,155,7928.2
Внедрение алгоритмов распознавания образов для конечных пользователей,33982.95,414,12313.88
Построение BI-систем и аналитики для крупной корпорации,8269.34,28,2678.06
Разработка инфраструктуры для Big Data в сфере E-commerce,93193.31,334,42380.48
Операционный IT-консалтинг с расширенным функционалом,6838.12,26,2128.25
Оптимизация IT-процессов с применением облачных технологий,4785.76,19,1709.98
Создание конвейеров обработки Big Data с фокусом на безопасность,22923.72,584,5464.99
Оценка зрелости IT-инфраструктуры для малого и среднего бизнеса,12393.36,27,7148.67
Тестирование на проникновение с фокусом на безопасность,34035.14,69,10714.66
Оценка уровня защищенности систем с применением облачных технологий,24743.53,56,8175.05
Приемочное тестирование на основе анализа требований,8006.18,16,3495.7
Разработка тестовых сценариев и фреймворков для образовательной платформы,18177.96,61,7063.81
Проектирование взаимодействия пользователя для логистической компании,2064.29,84,1004.65
Создание мультиарендной SaaS платформы для медицинской организации,39672.56,235,16517.47
Разработка Firmware для микроконтроллеров с фокусом на безопасность,18970.86,183,10693.8
Разработка инфраструктуры для Big Data в сфере E-commerce,65605.23,401,12753.73
Оценка уровня защищенности систем для медицинской организации,4800.89,147,1752.39
Приемочное тестирование для крупной корпорации,3091.01,12,789.98
Оказание технической поддержки первой линии с использованием микросервисной архитектуры,699.88,27,217.65
Внедрение 1C:ERP с учетом масштабируемости,147348.31,533,84933.12
Аутсорсинг функций IT-менеджмента с применением облачных технологий,8202.04,121,2227.8
Разработка Flutter приложения с нуля на основе анализа требований,68372.34,270,31823.65
Создание интерфейсов взаимодействия с учетом масштабируемости,11880.98,62,6357.5
Оптимизация реляционных СУБД для образовательной платформы,25813.91,81,13738.17
Разработка мобильного приложения на Flutter для крупной корпорации,60507.76,419,6314.43
Разработка игр на Unreal Engine с фокусом на безопасность,62988.39,155,8133.25
Оказание технической поддержки первой линии с учетом масштабируемости,1991.05,12,656.23
Создание кроссплатформенного приложения (React Native) для образовательной платформы,57122.31,339,25174.43
Построение BI-систем и аналитики для крупной корпорации,10858.63,64,2114.05
Построение DWH и витрин данных с учетом масштабируемости,21735.16,198,12442.2
Построение DWH и витрин данных для образовательной платформы,33056.92,75,17906.29
Анализ уязвимостей веб-приложений с использованием микросервисной архитектуры,10406.82,146,2489.51
Разработка прошивок и ПО для IoT-устройств с фокусом на безопасность,21760.21,291,8753.25
Разработка мобильного приложения на Flutter для медицинской организации,31115.91,189,16653.55
Архитектура облачных решений на AWS для крупной корпорации,38567.41,64,18378.63
Создание конвейеров обработки Big Data с расширенным функционалом,74664.21,308,43789.97
Разработка тестовых сценариев и фреймворков для медицинской организации,11851.38,83,1821.08
Настройка автоматизации развертывания с использованием микросервисной архитектуры,34211.54,85,10345.91
Настройка и оптимизация Azure для внутреннего использования,35090.41,144,19467.32
Масштабирование NoSQL баз данных для медицинской организации,20340.04,99,2817.2
Проведение ручного тестирования ПО для конечных пользователей,1713.43,39,612.41
Проведение пенетрационного тестирования (пентеста) для конечных пользователей,14420.25,47,6502.26
Разработка пользовательского опыта (UX) с фокусом на безопасность,4964.93,54,936.1
Построение системы управления проектами с учетом масштабируемости,5045.4,90,2832.39
Fullstack разработка для логистической компании,26571.25,252,3515.61
Проектирование UI на основе анализа требований,7137.36,41,1026.41
Оптимизация рабочих потоков для медицинской организации,7964.27,56,1782.16
Разработка IT-стратегии для конечных пользователей,15950.98,120,8400.3
Разработка Flutter приложения с нуля в сфере E-commerce,24670.47,79,3857.83
Построение DWH и витрин данных для финансового сектора,11699.47,202,2118.9
Оценка зрелости IT-инфраструктуры для конечных пользователей,16159.2,32,2778.02
Проектирование взаимодействия пользователя для внутреннего использования,9254.2,73,5248.25
Разработка Flutter приложения с нуля для конечных пользователей,63422.24,395,35251.6
Разработка аналитических моделей для Big Data с фокусом на безопасность,65716.4,466,24221.23
Настройка и оптимизация AWS с использованием микросервисной архитектуры,25208.67,151,14680.43
Создание клиентской части веб-приложения для образовательной платформы,6651.02,125,1972.84
Внедрение CI/CD для образовательной платформы,33792.21,73,18087.26
Fullstack разработка для крупной корпорации,47562.15,80,9880.95
Проектирование взаимодействия пользователя с расширенным функционалом,10939.61,32,6217.7
Разработка и аудит смарт-контрактов для медицинской организации,23737.43,395,7283.58
Создание фулстек решения для малого и среднего бизнеса,40515.88,400,14650.22
Проектирование и разработка веб-платформы с применением облачных технологий,24027.85,353,8409.08
Разработка инфраструктуры для Big Data с фокусом на безопасность,52038.12,83,28019.8
Архитектура облачных решений на Azure для крупной корпорации,8327.21,193,2850.27
Проведение аналитики больших данных для финансового сектора,57894.43,152,27810.44
Разработка React Native приложения с нуля на основе анализа требований,44379.16,299,16766.12
Автоматизация регрессионного тестирования в сфере E-commerce,19077.9,23,6527.38
Оптимизация IT-процессов для образовательной платформы,6133.96,31,3311.02
Аутсорсинг функций IT-менеджмента с расширенным функционалом,24070.09,112,6109.28
Внедрение комплексных систем безопасности в сфере E-commerce,29963.04,107,6471.77
Создание клиентской части веб-приложения для внутреннего использования,13552.13,217,5806.27
Стратегический IT-консалтинг с использованием микросервисной архитектуры,8231.79,23,1110.81
Разработка Firmware для микроконтроллеров для образовательной платформы,14917.17,197,3682.78
Создание решений для анализа изображений и видео для крупной корпорации,41330.39,91,16037.51
Разработка игр на Unreal Engine с использованием микросервисной архитектуры,26897.11,378,4203.26
Разработка тестовых сценариев и фреймворков с фокусом на безопасность,19452.81,116,5736.71
Создание интерфейсов взаимодействия для финансового сектора,12336.5,146,4744.99
UX-исследование и проектирование для внутреннего использования,8226.37,88,1644.73
Backend разработка для крупной корпорации,25380.41,85,12358.1
Разработка децентрализованных приложений (DApps) с применением облачных технологий,113869.31,452,32150.99
Извлечение ценной информации из Big Data для логистической компании,76148.19,322,25609.27
Разработка sentiment analysis моделей для малого и среднего бизнеса,45214.37,474,25844.05
Разработка фронтенда и бэкенда для DApps для крупной корпорации,106094.81,354,63393.57
Автоматизация бизнес-процессов с учетом масштабируемости,46151.93,276,10429.04
Создание клиентской части веб-приложения с фокусом на безопасность,21811.1,176,5880.76
Разработка инфраструктуры для Big Data для крупной корпорации,66404.06,372,16210.38
Создание Android приложения под ключ для крупной корпорации,13980.68,282,5172.11
Разработка облачного SaaS продукта для внутреннего использования,92073.14,398,53271.16
Миграция в AWS для внутреннего использования,16881.8,139,4043.82
Создание чат-ботов и систем анализа текста для образовательной платформы,41373.8,153,8955.28
Внедрение алгоритмов распознавания образов с учетом масштабируемости,30581.15,379,15590.87
Управление облачной инфраструктурой в AWS для стартапа,12629.32,150,1531.41
Создание клиентской части веб-приложения для образовательной платформы,23370.67,160,4160.5
Настройка и оптимизация AWS для малого и среднего бизнеса,26035.53,74,9768.58
Разработка игр на Unreal Engine для крупной корпорации,63169.9,135,15426.51
Развертывание решений по киберзащите в сфере E-commerce,7306.26,121,1760.0
Извлечение ценной информации из Big Data для внутреннего использования,58659.41,101,16931.57
Управление облачной инфраструктурой в AWS для конечных пользователей,7139.83,154,3881.54
Программирование встраиваемых систем для IoT с применением облачных технологий,8461.8,127,3074.76
Разработка дашбордов и отчетов для малого и среднего бизнеса,3632.0,119,1067.39
Внедрение AmoCRM для малого и среднего бизнеса,21080.98,175,8277.43
Разработка облачного SaaS продукта для малого и среднего бизнеса,15108.46,511,3456.58
Оптимизация реляционных СУБД с учетом масштабируемости,7280.75,53,1295.12
Разработка API для крупной корпорации,38521.97,104,19439.21
Внедрение BPM-систем для финансового сектора,13780.11,164,5732.39
Разработка фронтенда и бэкенда для DApps с использованием микросервисной архитектуры,16157.74,135,5572.3
Оценка зрелости IT-инфраструктуры для образовательной платформы,15780.29,38,2995.44
Создание интерфейсов взаимодействия с фокусом на безопасность,15438.23,79,3119.25
Создание решений для анализа изображений и видео в сфере E-commerce,79906.89,140,33254.42
Создание мультиарендной SaaS платформы в сфере E-commerce,102804.84,445,50948.9
Разработка смарт-контрактов на Solidity с использованием микросервисной архитектуры,96380.83,54,12376.61
Экспертная IT-поддержка и решение инцидентов с применением облачных технологий,1130.75,22,588.64
Создание iOS приложения под ключ с учетом масштабируемости,49120.91,128,19094.65
Создание Android приложения под ключ для образовательной платформы,29725.45,149,10461.31
Разработка высокопроизводительного Android приложения для медицинской организации,57526.1,152,10443.74
Разработка моделей классификации и регрессии для крупной корпорации,38241.93,321,15739.5
Операционный IT-консалтинг с учетом масштабируемости,7903.13,48,4716.25
Миграция данных в SQL базы с применением облачных технологий,12271.44,156,3804.33
Проведение ручного тестирования ПО с использованием микросервисной архитектуры,2876.56,26,840.27
Анализ уязвимостей веб-приложений для стартапа,26506.7,178,6020.8
Внедрение BPM-систем с фокусом на безопасность,7809.46,116,2062.59
Программирование встраиваемых систем для IoT для крупной корпорации,33888.35,324,4616.26
Создание интерактивных приложений на Unity с учетом масштабируемости,57358.94,202,17242.3
Оценка зрелости IT-инфраструктуры для логистической компании,8751.95,29,4825.01
Проведение аудита IT-безопасности для конечных пользователей,8156.91,73,1702.18
Миграция в AWS для финансового сектора,19188.4,141,9746.72
Обслуживание серверов и сетевого оборудования с фокусом на безопасность,4840.31,9,2057.68
Проектирование и реализация RESTful/GraphQL API для стартапа,4138.2,181,1560.57
Разработка дашбордов и отчетов для образовательной платформы,18397.75,104,3565.1
Автоматизация регрессионного тестирования для стартапа,18847.43,43,2925.81
Оказание технической поддержки первой линии для внутреннего использования,1415.99,21,403.4
Консультации по цифровой трансформации с использованием микросервисной архитектуры,3528.83,76,745.33
Создание Android приложения под ключ в сфере E-commerce,53920.25,196,18172.18
Разработка решений на основе обработки естественного языка (NLP) с расширенным функционалом,86146.29,243,36791.06
Внедрение Salesforce для образовательной платформы,59401.25,207,23294.83
Внедрение SAP S/4HANA с использованием микросервисной архитектуры,69569.17,299,39832.6
Разработка бэкенда для управления IoT-устройствами для финансового сектора,36657.65,332,10297.01
Создание AAA-проектов на Unreal Engine для крупной корпорации,65317.66,335,20482.69
Проектирование и реализация RESTful/GraphQL API на основе анализа требований,31202.98,156,9921.68
Создание интерактивных приложений на Unity для финансового сектора,25024.83,109,5665.41
Автоматизация DevOps процессов для логистической компании,19089.5,154,3197.74
Разработка нативного iOS приложения для образовательной платформы,7877.26,389,1300.19
Разработка высококачественной графики на Unreal Engine для финансового сектора,39948.89,160,19444.74
Разработка игр на Unreal Engine для малого и среднего бизнеса,74833.02,231,35420.9
Разработка API для малого и среднего бизнеса,29966.2,171,11031.73
Внедрение алгоритмов распознавания образов в сфере E-commerce,48129.53,419,18175.48
Разработка высокопроизводительного Android приложения для крупной корпорации,56677.75,272,31311.11
